,name,price,rating,dis_ends,dis_start,release,discount
60,King Exit,2.10 SR,91.72%,in 13 days,yesterday,4 years ago,-70%
61,Fantasy Girl,1.65 SR,91.10%,in 13 days,yesterday,2 years ago,-40%
62,Tree Simulator 2022,2.38 SR,90.60%,in 7 days,yesterday,8 months ago,-70%
63,Unrailed!,15.28 SR,90.56%,in 13 days,2 days ago,15 months ago,-70%
64,Barotrauma,14.98 SR,90.45%,in 13 days,yesterday,3 years ago,-75%
65,"Cook, Serve, Delicious! 3?!",17.47 SR,89.50%,in 11 days,9 days ago,14 months ago,-50%
66,Material Girl,2.10 SR,89.17%,in 13 days,yesterday,5 years ago,-70%
67,Tricolour Lovestory,2.80 SR,89.12%,in 13 days,yesterday,4 years ago,-60%
68,Elise the Devil,2.10 SR,88.89%,in 13 days,yesterday,4 years ago,-70%
69,The Vagrant,3.98 SR,88.04%,,,,-60%
70,Dark Elf,4.20 SR,86.20%,,,,-70%
71,Witch It,14.70 SR,86.15%,,,,-70%
72,Garfield Kart - Furious Racing,2.99 SR,85.60%,,,,-90%
73,"Cook, Serve, Delicious! 2!!",10.50 SR,85.53%,in 11 days,9 days ago,4 years ago,-75%
74,"UBERMOSH
lowest price is 1.37 SR at -50%",1.43 SR,85.47%,in 2 days,2 days ago,6 years ago,-88%
75,妄想症：Deliver Me,2.10 SR,85.14%,in 13 days,yesterday,3 years ago,-60%
76,Otaku's Fantasy,2.10 SR,85.03%,in 13 days,yesterday,4 years ago,-70%
77,"Fluffy Store
lowest price is 1.57 SR at -70%",2.10 SR,93.10%,in 13 days,yesterday,2 years ago,-60%
78,"FlatOut 2™
lowest price is 3.30 SR at -90%",20.80 SR,92.96%,in 12 days,2 days ago,16 years ago,-80%
79,"DEEP SPACE WAIFU: NEKOMIMI
lowest price is 3.15 SR at -40%",3.67 SR,91.52%,in 12 days,9 days ago,3 years ago,-30%
80,"Cook, Serve, Delicious!
lowest price is 3.30 SR at -90%",8.25 SR,91.40%,in 11 days,9 days ago,8 years ago,-75%
81,"Deep Space Waifu: FANTASY
lowest price is 3.67 SR at -30%",5.56 SR,90.43%,in 2 days,12 days ago,3 years ago,-30%
82,"FlatOut
lowest price is 2.60 SR at -90%",20.80 SR,88.93%,-,2 days ago,17 years ago,-80%
83,Russian Subway Dogs,13.47 SR,88.79%,in 13 days,yesterday,3 years ago,-55%
84,"Siralim Ultimate
lowest price is 27.96 SR at -20%",31.45 SR,88.77%,in 7 days,6 hours ago,22 hours ago,-10%
85,"Eve of Souls: Static Pod
lowest price is 2.10 SR at -60%",4.77 SR,87.46%,in 13 days,yesterday,3 years ago,-40%
86,UBERMOSH Vol.5,1.37 SR,86.39%,in 2 days,25 days ago,5 years ago,-50%
87,"Drift Phonk 666
lowest price is 1.37 SR at -50%",1.51 SR,86.23%,tomorrow,13 days ago,8 months ago,-45%
88,"Ninjin: Clash of Carrots
lowest price is 2.19 SR at -90%",4.39 SR,86.22%,in 13 days,yesterday,3 years ago,-80%
89,"The Inner World
lowest price is 4.79 SR at -85%",9.40 SR,86.14%,,,,-80%
90,Lost Lands: The Four Horsemen,8.40 SR,85.81%,,,,-65%
91,"Syberia
lowest price is 0.00 SR at -100%",6.30 SR,85.55%,,,,-85%
92,"Dwarf Journey
lowest price is 3.98 SR at -75%",5.42 SR,85.50%,in 14 days,4 hours ago,9 months ago,-66%
93,"SaGa Frontier Remastered
new historical low",76.00 SR,85.44%,in 6 days,7 days ago,8 months ago,-20%
94,Hell Girls,2.10 SR,84.98%,in 13 days,yesterday,5 years ago,-70%
95,Soulestination,5.56 SR,84.92%,in 10 days,4 hours ago,11 months ago,-30%
96,Deponia: The Complete Journey,13.90 SR,84.57%,in 13 days,yesterday,8 years ago,-90%
97,"UBERMOSH:SANTICIDE
lowest price is 1.19 SR at -90%",1.37 SR,84.51%,in 2 days,25 days ago,3 years ago,-50%
98,"Exit From
lowest price is 2.39 SR at -80%",4.18 SR,84.42%,in 13 days,yesterday,8 months ago,-65%
99,"RollingSky2
lowest price is 8.08 SR at -70%",13.47 SR,84.32%,in 7 days,7 days ago,2 years ago,-50%
100,"Lost: Find
new historical low",8.95 SR,84.18%,in 7 days,14 hours ago,22 hours ago,-10%
101,Gordian Rooms 1: A curious heritage,6.97 SR,84.17%,in 14 days,4 hours ago,15 months ago,-50%
102,Wars and Warriors: Joan of Arc,6.00 SR,84.13%,in 12 days,9 days ago,18 years ago,-75%
103,"FIGHT KNIGHT
new historical low",31.45 SR,84.08%,in 4 days,3 days ago,4 days ago,-10%
104,Ryse: Son of Rome,5.48 SR,84.02%,in 13 days,yesterday,7 years ago,-75%
105,Instant Farmer - Logic Puzzle,3.67 SR,83.99%,in 3 days,4 days ago,10 months ago,-30%
106,SantaCraft,9.56 SR,83.74%,in 6 days,yesterday,12 months ago,-20%
107,Cute Cats,1.37 SR,83.68%,in 12 days,9 days ago,4 months ago,-50%
108,"Bulb Boy
lowest price is 3.00 SR at -90%",7.20 SR,83.50%,in 10 days,4 days ago,6 years ago,-76%
109,AER Memories of Old,4.70 SR,83.42%,in 13 days,yesterday,4 years ago,-90%
110,Juiced!,2.62 SR,83.28%,,,,-50%
111,Darkness and Flame: Born of Fire,8.40 SR,83.21%,,,,-65%
112,"XCOM® 2
lowest price is 12.00 SR at -92%",15.00 SR,83.15%,,,,-90%
113,"BURIED STARS
new historical low",50.95 SR,82.95%,,,,-15%
114,"FlatOut: Ultimate Carnage
lowest price is 5.60 SR at -90%",20.80 SR,82.93%,in 12 days,2 days ago,14 years ago,-80%
115,Absolute Alchemical Potion,7.97 SR,82.82%,in 12 days,2 days ago,14 months ago,-50%
116,The Heiress,4.20 SR,82.79%,in 13 days,yesterday,4 years ago,-70%
117,"Mibibli's Quest
new historical low",2.09 SR,82.63%,in 12 days,2 days ago,5 years ago,-85%
118,Vojo,1.37 SR,82.63%,in 14 days,4 hours ago,8 months ago,-50%
119,Get-A-Grip Chip,17.97 SR,82.55%,in 11 days,9 days ago,14 months ago,-40%
120,Figment,3.49 SR,82.53%,in 13 days,yesterday,4 years ago,-90%
121,前程似锦 Excellent Expectations,4.45 SR,82.46%,in 12 days,2 days ago,4 years ago,-44%
122,"Find Yourself
lowest price is 3.19 SR at -80%",7.49 SR,82.37%,in 13 days,yesterday,10 months ago,-53%
123,"Conscious Existence - A Journey Within
new historical low",4.06 SR,82.28%,in 13 days,yesterday,3 years ago,-66%
124,"Time Rifters
lowest price is 8.25 SR at -75%",11.22 SR,82.11%,in 12 days,2 days ago,7 years ago,-66%
125,"The Divine Invasion
lowest price is 5.98 SR at -70%",15.96 SR,82.08%,in 7 days,13 hours ago,15 months ago,-20%
126,The Smurfs - Mission Vileaf,91.16 SR,82.05%,in 5 days,2 days ago,last month,-20%
127,"DeepStates [VR]
new historical low",19.96 SR,81.97%,in 8 days,4 hours ago,6 months ago,-20%
128,Nature And Life - Drunk On Nectar,31.49 SR,81.95%,in 12 days,9 days ago,5 years ago,-33%
129,Chionophile,1.51 SR,81.84%,in 14 days,4 hours ago,14 months ago,-45%
130,The logic of the miniature garden,6.58 SR,81.83%,in 13 days,yesterday,3 years ago,-70%
131,Dragonia,2.10 SR,81.80%,,,,-70%
132,"Natural Locomotion
lowest price is 13.17 SR at -40%",19.75 SR,81.80%,,,,-10%
133,"Cave Quest
lowest price is 5.97 SR at -50%",9.56 SR,81.69%,,,,-20%
134,"Volt Patrol - Stealth Driving
new historical low",8.36 SR,81.65%,,,,-30%
135,"Syberia II
lowest price is 0.00 SR at -100%",6.30 SR,81.64%,,,,-85%
136,UBERMOSH Vol.3,1.37 SR,81.63%,in 2 days,25 days ago,5 years ago,-50%
137,Colormeleons,1.51 SR,81.42%,in 10 days,4 days ago,2 years ago,-45%
138,"Dead by Daylight
lowest price is 22.40 SR at -60%",29.97 SR,81.36%,in 4 days,3 days ago,6 years ago,-50%
139,Seek Girl Ⅲ,1.65 SR,81.36%,in 14 days,14 hours ago,2 years ago,-40%
140,Mr. Prepper,26.21 SR,81.32%,in 14 days,4 hours ago,9 months ago,-25%
141,"Dungeon Slime 2: Puzzle in the Dark Forest
new historical low",3.04 SR,81.30%,in 12 days,2 days ago,8 months ago,-42%
142,"Train Sim World® 2
lowest price is 18.78 SR at -60%",32.86 SR,81.29%,in 5 days,2 days ago,16 months ago,-30%
143,Deep Despair 2,12.76 SR,81.29%,in 12 days,2 days ago,2 months ago,-20%
144,假如我是人工智能 Big Brother Is Shaping You,6.06 SR,81.12%,in 12 days,9 days ago,3 years ago,-39%
145,Blacksad: Under the Skin,11.99 SR,81.08%,in 5 days,2 days ago,2 years ago,-80%
146,Razortron 2000,1.37 SR,81.07%,in 12 days,9 days ago,5 years ago,-50%
147,"Time Warpers
lowest price is 8.73 SR at -75%",11.88 SR,81.06%,in 12 days,2 days ago,2 years ago,-66%
148,"Xeno Crisis
new historical low",17.47 SR,81.04%,in 3 days,6 days ago,2 years ago,-50%
149,Gnomes Garden: Christmas Story,2.99 SR,81.03%,in 3 days,4 days ago,3 years ago,-90%
150,"Cube Destroyer
lowest price is 0.85 SR at -83%",1.37 SR,81.03%,in 12 days,2 days ago,6 years ago,-50%
151,Magic of Autumn,3.97 SR,81.03%,in 14 days,4 hours ago,2 years ago,-50%
152,Kotel Ne Gori: A Friend of Lena Boots,1.37 SR,81.00%,in 12 days,9 days ago,15 months ago,-50%
153,"They Bleed Pixels
lowest price is 6.60 SR at -80%",8.25 SR,80.93%,,,,-75%
154,"Pianistic
lowest price is 1.43 SR at -88%",2.39 SR,80.75%,,,,-80%
155,"Legend of Chilli Tree
new historical low",5.04 SR,80.72%,,,,-77%
156,Overcrowd: A Commute 'Em Up,17.47 SR,80.72%,in 14 days,4 hours ago,14 months ago,-50%
157,"Blackout Z: Slaughterhouse Edition
lowest price is 0.00 SR at -100%",1.37 SR,80.60%,in 12 days,9 days ago,4 years ago,-50%
158,Mr Husky,1.57 SR,80.47%,in 13 days,yesterday,2 years ago,-70%
159,"Seek Girl:Fog Ⅰ
lowest price is 7.95 SR at -0%",8.45 SR,80.45%,in 14 days,14 hours ago,15 months ago,-15%
160,PGA TOUR 2K21,74.25 SR,80.43%,in 13 days,21 hours ago,16 months ago,-67%
161,"Hide and Run
new historical low",3.97 SR,80.40%,in 14 days,4 hours ago,6 months ago,-50%
162,"METAL DOGS
lowest price is 29.35 SR at -16%",29.36 SR,80.39%,in 9 days,19 hours ago,3 months ago,-16%
163,Trip to Vinelands,1.37 SR,80.32%,in 2 days,25 days ago,5 years ago,-50%
164,"Summer Meetings
lowest price is 2.19 SR at -90%",2.99 SR,80.29%,in 14 days,4 hours ago,2 years ago,-90%
165,Exertus,1.41 SR,80.24%,in 12 days,9 days ago,2 years ago,-73%
166,"Recon Control
new historical low",16.46 SR,80.02%,in 14 days,4 hours ago,last month,-25%
167,ADVERSE,4.88 SR,79.89%,in 12 days,9 days ago,11 months ago,-65%
168,DOOMER'S ADVENTURE,1.51 SR,79.83%,in 5 hours,14 days ago,6 months ago,-45%
