,name,price,rating,dis_ends,dis_start,release,discount
277,"Iron Sea Defenders
lowest price is 1.37 SR at -89%",1.43 SR,73.85%,in 3 days,4 days ago,5 years ago,-88%
278,"Dofamine
new historical low",9.58 SR,73.84%,in 13 days,yesterday,13 months ago,-68%
279,"GROOD
lowest price is 1.43 SR at -88%",2.39 SR,73.63%,in 13 days,yesterday,4 years ago,-80%
280,USAGIRI,2.19 SR,73.57%,in 14 days,4 hours ago,2 years ago,-90%
281,"New York Mysteries: The Outbreak
new historical low",7.97 SR,73.57%,in 13 days,yesterday,2 years ago,-50%
282,"Sweet Surrender VR
new historical low",35.95 SR,73.57%,,,,-10%
283,Cions of Vega,5.97 SR,73.56%,,,,-40%
284,Distant Space,1.37 SR,73.45%,,,,-50%
285,Dragon Knight,4.20 SR,73.41%,,,,-70%
286,Tank Destroyer,1.37 SR,73.37%,,,,-50%
287,Decay: The Mare,2.30 SR,73.30%,in 13 days,yesterday,7 years ago,-90%
288,Human Origin,1.37 SR,73.27%,in 11 days,9 days ago,2 years ago,-50%
289,1001 Jigsaw. Ice Age,1.43 SR,73.26%,in 3 days,4 days ago,2 years ago,-88%
290,Smart Moves,2.39 SR,73.26%,in 13 days,yesterday,2 years ago,-80%
291,"Raccoon Arrival
new historical low",3.59 SR,73.26%,in 11 days,3 days ago,2 months ago,-80%
292,Slime Story,1.37 SR,73.26%,in 12 days,9 days ago,5 months ago,-50%
293,"Castle on the Coast
new historical low",31.45 SR,73.26%,in 6 days,yesterday,2 days ago,-10%
294,"Cubstacle
new historical low",4.72 SR,73.26%,in 6 days,yesterday,2 days ago,-10%
295,Artificial Extinction,13.97 SR,73.06%,in 14 days,4 hours ago,2 years ago,-50%
296,Atomic Girls,1.37 SR,72.84%,in 12 days,9 days ago,11 months ago,-50%
297,The Dark Inside Me - Chapter II,14.97 SR,72.76%,in 10 days,4 days ago,6 months ago,-50%
298,Fractal Alchemist,17.47 SR,72.76%,in 12 days,2 days ago,2 years ago,-50%
299,"Last Village
new historical low",6.36 SR,72.75%,in 12 days,2 days ago,4 months ago,-71%
300,"My Furry Dictator 🐾
new historical low",6.96 SR,72.75%,in 7 days,9 days ago,2 months ago,-30%
301,"Fishing Sim World®: Pro Tour
lowest price is 13.98 SR at -60%",19.97 SR,72.69%,in 5 days,2 days ago,3 years ago,-50%
302,"Mirror Party
new historical low",3.15 SR,72.67%,in 6 days,20 hours ago,2 days ago,-40%
303,Rebel! Pure love fighters!,10.36 SR,72.61%,in 12 days,9 days ago,2 months ago,-35%
304,Distant Space 2,1.37 SR,72.47%,,,,-50%
305,Leaf Tree,1.92 SR,72.42%,,,,-30%
306,Allura: The Three Realms,10.46 SR,72.42%,,,,-25%
307,PUZZLE: CATS & DOGS,1.41 SR,72.28%,,,,-73%
308,Cyberpunk Madness,1.37 SR,72.28%,,,,-50%
309,"SaGa SCARLET GRACE: AMBITIONS™
new historical low",34.50 SR,72.26%,in 6 days,7 days ago,3 years ago,-70%
310,"Seek Girl Ⅳ
lowest price is 1.65 SR at -40%",1.92 SR,72.25%,in 14 days,14 hours ago,2 years ago,-30%
311,Hentai Killer: Girls & Chess,1.38 SR,72.24%,in 12 days,9 days ago,6 months ago,-49%
312,"Moving Letters
lowest price is 1.57 SR at -70%",1.99 SR,72.22%,in 12 days,2 days ago,14 months ago,-62%
313,"Dark Chronicles: The Soul Reaver
lowest price is 10.46 SR at -25%",11.16 SR,72.21%,in 14 days,4 hours ago,8 months ago,-20%
314,Slender Hentai Edition,1.37 SR,72.20%,in 11 days,3 days ago,10 months ago,-50%
315,Mystery Solitaire The Arkham Spirits,1.43 SR,72.17%,in 3 days,4 days ago,2 years ago,-88%
316,Asian Riddles 4,1.43 SR,72.17%,in 3 days,4 days ago,10 months ago,-88%
317,Jane Angel 2: Fallen Heaven,10.68 SR,72.17%,in 12 days,2 days ago,11 months ago,-33%
318,"Minesweeper NG
new historical low",8.96 SR,72.17%,in 4 days,3 days ago,4 days ago,-25%
319,"Cookie Store
lowest price is 6.98 SR at -75%",22.36 SR,72.17%,in 14 days,4 hours ago,13 months ago,-20%
320,"Tied by your Red
new historical low",8.45 SR,72.17%,in 2 days,6 days ago,6 days ago,-15%
321,"Gardenia
new historical low",21.55 SR,72.17%,in 7 days,6 hours ago,22 hours ago,-10%
322,Lucid Cycle,5.97 SR,72.09%,in 14 days,4 hours ago,10 months ago,-40%
323,"GOD WARS The Complete Legend
new historical low",14.08 SR,72.05%,in 14 days,2 hours ago,3 years ago,-70%
324,Save Their Souls,1.37 SR,72.05%,in 11 days,9 days ago,5 years ago,-50%
325,"Fragmented Mind
new historical low",2.10 SR,71.94%,in 11 days,yesterday,10 months ago,-60%
326,"Horny Girl Hentai Puzzle
new historical low",1.92 SR,71.85%,,,,-30%
327,XCOM®: Chimera Squad,29.40 SR,71.81%,,,,-65%
328,"魔女秘药（witch elixir）
new historical low",10.97 SR,71.66%,,,,-50%
329,Megacraft Hentai Survival,1.37 SR,71.66%,,,,-50%
330,Take That,2.48 SR,71.62%,,,,-75%
331,Seek Girl Ⅶ,4.20 SR,71.62%,in 14 days,14 hours ago,12 months ago,-20%
332,"Bomb Bowling
lowest price is 1.37 SR at -50%",1.43 SR,71.55%,in 13 days,yesterday,2 years ago,-88%
333,"Forest adventure
new historical low",1.51 SR,71.55%,in 9 days,5 days ago,2 months ago,-45%
334,"Paper Shakespeare: To Date Or Not To Date?
lowest price is 15.00 SR at -50%",22.50 SR,71.55%,in 12 days,2 days ago,4 years ago,-25%
335,"Furry Shakespeare: To Date Or Not To Date Cat Girls?
lowest price is 16.55 SR at -17%",16.95 SR,71.55%,in 12 days,9 days ago,3 years ago,-15%
336,"Dangerous Waters
lowest price is 4.70 SR at -90%",9.40 SR,71.54%,in 13 days,yesterday,16 years ago,-80%
337,Mystery Solitaire The Black Raven,1.43 SR,71.52%,in 3 days,4 days ago,3 years ago,-88%
338,Smart Thief,1.40 SR,71.48%,in 7 days,9 days ago,12 months ago,-64%
339,Iron Danger,9.79 SR,71.34%,in 13 days,yesterday,2 years ago,-80%
340,What Makes Us Special,2.69 SR,71.25%,in 14 days,4 hours ago,2 years ago,-90%
341,"Queen of Seas
lowest price is 1.37 SR at -66%",1.40 SR,71.22%,in 11 days,9 days ago,5 years ago,-65%
342,Woman's Prison,13.55 SR,71.08%,in 11 days,9 days ago,2 months ago,-15%
343,PUZZLE: LANDSCAPES,1.38 SR,70.99%,in 12 days,9 days ago,3 years ago,-49%
344,"Heaven & Hell
lowest price is 1.40 SR at -86%",7.50 SR,70.99%,in 12 days,2 days ago,3 years ago,-25%
345,Killing Time,2.10 SR,70.89%,in 13 days,yesterday,4 years ago,-70%
346,"ShellBlast: Legacy Edition
lowest price is 1.99 SR at -80%",2.48 SR,70.84%,in 11 days,9 days ago,15 years ago,-75%
347,Droid Guier,2.38 SR,70.84%,,,,-70%
348,"Bananarun
new historical low",4.32 SR,70.84%,,,,-69%
349,Man of Honor,10.97 SR,70.84%,,,,-50%
350,"Spring and Girls
new historical low",1.37 SR,70.84%,,,,-50%
351,Marble Parkour 2: Roll and roll,1.41 SR,70.75%,in 12 days,9 days ago,4 months ago,-73%
352,Resident of Dimension,1.37 SR,70.75%,in 11 days,3 days ago,2 years ago,-50%
353,Miner Ultra Rag Smash,1.37 SR,70.68%,in 12 days,9 days ago,13 months ago,-50%
354,"异世界攻略组 Isekai Team
lowest price is 15.40 SR at -30%",16.50 SR,70.68%,in 7 days,4 hours ago,6 months ago,-25%
355,Marine Park Empire,6.00 SR,70.63%,in 12 days,9 days ago,18 years ago,-75%
356,The Suicide of Rachel Foster,6.99 SR,70.60%,in 13 days,2 days ago,2 years ago,-80%
357,"Rising Lords
lowest price is 26.21 SR at -25%",27.96 SR,70.60%,in 7 days,4 hours ago,2 years ago,-20%
358,"Treasure Hunter Man 2
new historical low",2.10 SR,70.57%,in 2 days,12 days ago,6 years ago,-60%
359,"Bunny Quest
lowest price is 2.48 SR at -75%",7.96 SR,70.57%,in 13 days,yesterday,2 years ago,-20%
360,"Kongfusion
lowest price is 11.95 SR at -0%",14.97 SR,70.48%,in 11 days,3 days ago,16 months ago,-50%
361,"Entwined: Strings of Deception
lowest price is 4.20 SR at -80%",16.80 SR,70.48%,in 12 days,2 days ago,10 years ago,-20%
362,Gold Rush: The Game,17.47 SR,70.40%,in 12 days,2 days ago,4 years ago,-50%
363,"Roads of Rome: New Generation
lowest price is 4.18 SR at -65%",5.97 SR,70.34%,in 6 days,yesterday,4 years ago,-50%
364,"Cute Girl 2
new historical low",1.37 SR,70.34%,in 14 days,4 hours ago,2 months ago,-50%
365,"VILLAGE THE SIBERIA
new historical low",7.46 SR,70.33%,in 3 days,5 days ago,5 days ago,-25%
366,Asterix & Obelix XXL: Romastered,18.78 SR,70.28%,in 5 days,2 days ago,14 months ago,-60%
367,Seven Bullets Zombie Apocalypse,1.37 SR,70.08%,in 12 days,9 days ago,3 years ago,-50%
368,"Sub Command
lowest price is 3.30 SR at -90%",6.60 SR,69.99%,,,,-80%
369,"Victory At Sea
lowest price is 10.50 SR at -85%",17.50 SR,69.98%,,,,-75%
370,"Victorian Mysteries: The Yellow Room
lowest price is 5.97 SR at -50%",10.15 SR,69.94%,,,,-15%
371,"Twin Mirror
new historical low",54.99 SR,69.91%,,,,-50%
372,Gaslamp Cases: The deadly Machine,10.46 SR,69.91%,,,,-25%
373,Cyber Rider,2.62 SR,69.80%,in 11 days,9 days ago,4 months ago,-50%
374,Reformers Intl Ver(变革者国际版),1.57 SR,69.79%,in 13 days,yesterday,4 years ago,-70%
375,A Total War Saga: TROY,124.50 SR,69.73%,next month,9 days ago,3 months ago,-25%
376,"Luxor Solitaire
lowest price is 4.78 SR at -60%",8.96 SR,69.59%,in 14 days,4 hours ago,3 years ago,-25%
377,"Leenie Boog
new historical low",10.75 SR,69.59%,in 6 days,yesterday,2 days ago,-10%
378,拯救大魔王重生 Falsemen: Demon Rebirth,1.37 SR,69.50%,in 11 days,9 days ago,3 years ago,-50%
379,"Cute Girl
new historical low",1.37 SR,69.46%,in 14 days,4 hours ago,2 months ago,-50%
380,Knight Solitaire,1.43 SR,69.44%,in 3 days,4 days ago,2 years ago,-88%
381,HENTAI CLIMBING,1.37 SR,69.44%,in 5 days,9 days ago,8 months ago,-50%
382,TravelRacer,1.65 SR,69.44%,in 12 days,9 days ago,9 months ago,-40%
383,"Raptor Territory
new historical low",22.45 SR,69.44%,in 4 days,3 days ago,4 days ago,-10%
384,"Rinlo
lowest price is 22.46 SR at -25%",25.45 SR,69.36%,in 12 days,9 days ago,14 months ago,-15%
385,Roman The Worm,1.41 SR,69.33%,in 7 days,4 hours ago,3 years ago,-73%
386,斗地主少女/ Landlord Girls,5.37 SR,69.27%,in 12 days,9 days ago,17 months ago,-50%
387,"DARK MAGIC 2
new historical low",1.39 SR,69.20%,in 2 days,12 days ago,2 months ago,-86%
388,"Small Press Tycoon
new historical low",3.08 SR,69.20%,in 5 days,9 days ago,7 months ago,-69%
389,tia.sav,1.37 SR,69.20%,in 13 days,yesterday,2 years ago,-50%
390,"跳跃练习生/Jump Man
new historical low",2.62 SR,69.20%,,,,-50%
391,Cooks Girls,1.37 SR,69.20%,,,,-50%
392,"The Labyrinth of Greed
new historical low",16.17 SR,69.20%,,,,-40%
393,"PRIMAFLOOWS
new historical low",16.17 SR,69.20%,,,,-40%
394,"CoWorker
new historical low",16.46 SR,69.20%,in 5 days,2 days ago,3 days ago,-25%
395,"Chronicles of Tal'Dun: The Remainder - Act 2
new historical low",17.56 SR,69.20%,in 12 days,9 days ago,2 months ago,-20%
396,"Pretty Girls Rivers (Shisen-Sho)
new historical low",9.56 SR,69.20%,in 6 days,21 hours ago,2 days ago,-20%
397,"babyquick : Adventure of the Moon Dragon
new historical low",9.56 SR,69.20%,in 6 days,yesterday,2 days ago,-20%
398,"OverShoot Battle Race
new historical low",26.95 SR,69.20%,in 4 days,3 days ago,4 days ago,-10%
399,"Highrise Mogul
new historical low",19.75 SR,69.20%,in 6 days,yesterday,2 days ago,-10%
400,"They Look Like People
new historical low",10.75 SR,69.20%,in 3 days,5 days ago,5 days ago,-10%
401,"DarkHouse
new historical low",19.75 SR,69.20%,in 5 days,yesterday,3 days ago,-10%
402,Chocolate makes you happy 4,1.37 SR,69.06%,in 13 days,yesterday,4 years ago,-50%
403,"Fortissimo FA INTL Ver
lowest price is 3.15 SR at -40%",6.58 SR,69.04%,in 13 days,yesterday,3 years ago,-70%
404,MechDefender - Tower Defense,1.37 SR,69.04%,in 7 days,7 days ago,2 years ago,-50%
405,"Pranky Cat
lowest price is 1.37 SR at -50%",1.51 SR,69.00%,in 7 days,7 days ago,3 years ago,-45%
406,Paranoia: Deliver Me,2.10 SR,68.98%,in 13 days,yesterday,2 years ago,-60%
407,Flying Angel,5.47 SR,68.97%,in 12 days,9 days ago,9 months ago,-45%
408,"Biolum
new historical low",16.15 SR,68.97%,in 6 days,yesterday,2 days ago,-10%
409,"Micro Pico Racers
lowest price is 2.48 SR at -75%",4.97 SR,68.83%,in 12 days,4 hours ago,4 years ago,-50%
410,OUTBUDDIES DX,6.59 SR,68.80%,in 10 days,2 days ago,2 years ago,-80%
411,Fragile Box,1.37 SR,68.80%,in 7 days,7 days ago,2 years ago,-50%
412,Gachimuchi Life Simulator,3.15 SR,68.80%,,,,-40%
413,Let's Learn Japanese! Vocabulary,5.58 SR,68.75%,,,,-60%
414,"The Bureau: XCOM Declassified
lowest price is 11.20 SR at -80%",25.00 SR,68.73%,,,,-80%
415,"Giant Machines 2017
lowest price is 8.40 SR at -85%",11.20 SR,68.72%,,,,-80%
416,Angry Squirrel,1.37 SR,68.70%,in 14 days,4 hours ago,7 months ago,-50%
417,"Truberbrook / Trüberbrook
lowest price is 9.39 SR at -80%",11.73 SR,68.67%,in 10 days,2 days ago,3 years ago,-75%
418,Chocolate makes you happy 3,1.37 SR,68.67%,in 13 days,yesterday,4 years ago,-50%
419,"Shelter Manager
new historical low",23.96 SR,68.64%,in 7 days,4 hours ago,22 hours ago,-20%
420,"The Oil Blue: Steam Legacy Edition
lowest price is 3.40 SR at -80%",4.25 SR,68.46%,in 11 days,9 days ago,12 years ago,-75%
421,"Arctico
lowest price is 6.60 SR at -80%",13.20 SR,68.34%,in 14 days,4 hours ago,7 years ago,-60%
422,"Make War
lowest price is 2.19 SR at -90%",6.58 SR,68.24%,in 13 days,yesterday,2 years ago,-70%
423,Chocolate makes you happy 5,1.37 SR,68.19%,in 13 days,yesterday,4 years ago,-50%
424,Heart Chain Kitty,8.78 SR,68.15%,in 2 days,12 days ago,3 years ago,-60%
425,Love Decision,21.55 SR,68.15%,in 14 days,4 hours ago,8 months ago,-10%
426,"Magic Farm 2: Fairy Lands (Premium Edition)
lowest price is 2.48 SR at -75%",7.46 SR,68.10%,in 12 days,2 days ago,3 years ago,-25%
427,Hentai Shooter 2: World Tour,1.37 SR,68.03%,in 12 days,9 days ago,3 years ago,-50%
428,"Time To Stop Time
new historical low",10.97 SR,68.02%,in 14 days,4 hours ago,13 months ago,-50%
429,"Goddess Of Card War
lowest price is 4.97 SR at -50%",5.47 SR,68.00%,in 12 days,9 days ago,9 months ago,-45%
430,孑游列国,20.96 SR,68.00%,in 9 days,5 days ago,5 months ago,-30%
431,Japanese Puzzle,2.19 SR,67.93%,in 12 days,9 days ago,6 months ago,-90%
432,"Furry Lust
lowest price is 1.37 SR at -50%",1.51 SR,67.75%,in 7 days,2 days ago,6 months ago,-45%
433,"投资模拟器：打工人
new historical low",21.20 SR,67.74%,in 12 days,2 days ago,2 months ago,-15%
434,Viking Story,1.37 SR,67.59%,,,,-50%
435,"BORIS the Mutant Bear with a Gun
new historical low",1.37 SR,67.58%,,,,-50%
436,Seek Girl V,3.15 SR,67.43%,,,,-40%
437,Hacker Evolution Source Code,2.19 SR,67.40%,in 12 days,9 days ago,7 years ago,-90%
438,"Avalom: Ancestral Heroes
new historical low",19.77 SR,67.24%,in 13 days,yesterday,3 months ago,-40%
439,"Go All Out
lowest price is 2.48 SR at -75%",9.16 SR,67.18%,in 20 hours,6 days ago,3 years ago,-66%
440,Nephise,1.37 SR,67.15%,in 14 days,4 hours ago,5 years ago,-50%
441,"Battle Sad Boy
lowest price is 1.51 SR at -45%",2.19 SR,67.06%,in 13 days,yesterday,14 months ago,-90%
442,Holiday Mosaics Christmas Puzzles,1.43 SR,67.06%,in 3 days,4 days ago,2 years ago,-88%
443,"Dual Cars
lowest price is 1.37 SR at -50%",1.41 SR,67.06%,in 8 days,9 days ago,10 months ago,-73%
444,"Techno Tower Defense
lowest price is 1.43 SR at -82%",3.18 SR,67.06%,in 6 days,2 days ago,13 months ago,-60%
445,D.F.R.: The Light,2.62 SR,67.06%,in 12 days,2 days ago,4 years ago,-50%
446,PROJECT : KNIGHT™,4.97 SR,67.06%,in 11 days,3 days ago,16 months ago,-50%
447,"Sleep and Girls
new historical low",1.37 SR,67.06%,in 12 days,9 days ago,last month,-50%
448,"Shadow Сave
new historical low",16.17 SR,67.06%,in 4 days,3 days ago,4 days ago,-40%
449,"Faerie's Bargain: The Price of Business
new historical low",9.20 SR,67.06%,in 6 days,yesterday,2 days ago,-34%
450,"DESKTOP MONKEY
new historical low",7.96 SR,67.06%,in 6 days,yesterday,2 days ago,-20%
451,"Striving for Light
new historical low",15.25 SR,67.06%,in 3 days,4 days ago,5 days ago,-15%
452,"Bean and Nothingness
new historical low",21.20 SR,67.06%,in 5 days,2 days ago,3 days ago,-15%
453,"Breadbox
new historical low",33.95 SR,67.06%,in 20 hours,6 days ago,7 days ago,-15%
454,"Arrows
new historical low",2.33 SR,67.06%,in 4 days,3 days ago,4 days ago,-15%
455,Love of Dragons,21.55 SR,67.06%,,,,-10%
456,"Snake Pit
new historical low",4.72 SR,67.06%,,,,-10%
457,"Buy it now!
new historical low",4.98 SR,67.06%,,,,-5%
458,"Last Floor
lowest price is 4.18 SR at -65%",5.97 SR,67.02%,,,,-50%
459,"Princess Maira: Initiation
new historical low",5.80 SR,66.98%,in 10 days,4 hours ago,last month,-27%
460,"Headshot VR
lowest price is 5.48 SR at -75%",14.97 SR,66.88%,in 13 days,yesterday,17 months ago,-50%
461,"Book Series - Alice in Wonderland
lowest price is 4.25 SR at -75%",8.50 SR,66.78%,in 2 days,7 days ago,5 years ago,-50%
462,"Outbreak: The Nightmare Chronicles
lowest price is 2.39 SR at -80%",5.97 SR,66.78%,in 11 days,9 days ago,4 years ago,-50%
463,The Chosen Warriors,1.37 SR,66.77%,in 7 days,7 days ago,4 years ago,-50%
464,Traffic City,1.65 SR,66.76%,in 12 days,9 days ago,9 months ago,-40%
465,Meowhalla,6.36 SR,66.76%,in 5 days,9 days ago,2 years ago,-20%
466,"Artifact Hunter
lowest price is 9.76 SR at -30%",11.16 SR,66.76%,in 12 days,9 days ago,14 months ago,-20%
467,"Need for Drive - Open World Multiplayer Racing
new historical low",1.37 SR,66.66%,in 14 days,4 hours ago,10 months ago,-68%
468,Rainbow Pixel - Color by Number,1.43 SR,66.62%,in 3 days,4 days ago,2 years ago,-88%
469,stepbystep,1.43 SR,66.62%,in 12 days,9 days ago,3 years ago,-82%
470,"Cardaclysm
lowest price is 10.18 SR at -66%",11.98 SR,66.62%,in 10 days,2 days ago,9 months ago,-60%
471,"Crazy Eights 3D Premium
lowest price is 9.87 SR at -55%",10.97 SR,66.62%,in 6 days,yesterday,16 months ago,-50%
472,Dangerous Chris,1.51 SR,66.62%,in 10 days,4 days ago,9 months ago,-45%
473,Eternal Fantasy,6.58 SR,66.57%,in 13 days,yesterday,3 years ago,-70%
474,Mysteria ~Occult Shadows~,16.17 SR,66.53%,in 13 days,yesterday,14 months ago,-40%
475,"ANVIL
new historical low",35.95 SR,66.38%,in 5 days,2 days ago,3 days ago,-10%
476,"Space Empires V
lowest price is 4.70 SR at -90%",11.20 SR,66.37%,,,,-80%
477,"aMAZE Dark Times
lowest price is 1.37 SR at -66%",1.40 SR,66.32%,,,,-65%
478,"The far Kingdoms: Winter Solitaire
lowest price is 2.98 SR at -75%",5.97 SR,66.27%,,,,-50%
479,"Greed 2: Forbidden Experiments
lowest price is 6.60 SR at -40%",11.16 SR,66.27%,,,,-20%
480,Otaku's Fantasy 2,1.57 SR,65.94%,in 13 days,yesterday,4 years ago,-70%
481,Aether Field,2.19 SR,65.93%,in 14 days,4 hours ago,2 years ago,-90%
482,"The Ancient Labyrinth
lowest price is 1.99 SR at -80%",2.48 SR,65.93%,in 13 days,yesterday,2 years ago,-75%
483,"Tennis Arcade VR
lowest price is 6.58 SR at -70%",8.78 SR,65.93%,in 5 days,9 days ago,3 years ago,-60%
484,"The Far Kingdoms: Sacred Grove Solitaire
lowest price is 2.98 SR at -75%",5.97 SR,65.93%,in 14 days,4 hours ago,3 years ago,-50%
485,Sex Apocalypse,3.15 SR,65.93%,in 14 days,4 hours ago,16 months ago,-40%
486,"7 Roses - A Darkness Rises
lowest price is 8.36 SR at -30%",10.46 SR,65.86%,in 12 days,2 days ago,16 months ago,-25%
487,"境界 Dice&Fighter
lowest price is 1.99 SR at -80%",6.96 SR,65.63%,in 5 days,9 days ago,2 years ago,-30%
488,aMAZE Gears,1.37 SR,65.58%,in 13 days,yesterday,4 years ago,-50%
489,Blacksmith Run,1.37 SR,65.51%,in 12 days,9 days ago,3 years ago,-50%
490,MyHouseMyRules,2.38 SR,65.42%,in 6 days,2 days ago,9 months ago,-70%
491,Kawaii Girls,1.37 SR,65.42%,in 12 days,9 days ago,4 months ago,-50%
492,PUZZLE: OCEAN,1.38 SR,65.42%,in 12 days,9 days ago,3 years ago,-49%
493,Climb Fall Human Guys,1.65 SR,65.42%,in 12 days,9 days ago,10 months ago,-40%
494,"The Wasteland Trucker
new historical low",22.45 SR,65.42%,in 5 days,2 days ago,3 days ago,-10%
495,Lost Artifacts: Time Machine,2.99 SR,65.38%,in 3 days,4 days ago,3 years ago,-90%
496,"Fishing Sim World: Bass Pro Shops Edition
lowest price is 26.97 SR at -55%",29.97 SR,65.38%,in 5 days,2 days ago,13 months ago,-50%
497,Control Craft 2,1.37 SR,65.30%,in 5 days,9 days ago,6 years ago,-50%
498,Picross Bonbon - Nonogram,1.43 SR,65.17%,,,,-88%
499,"WIN THE GAME!
lowest price is 1.37 SR at -50%",1.38 SR,65.15%,,,,-49%
500,Adventure of Bears,1.37 SR,65.03%,,,,-50%
501,"Super Army of Tentacles 3: The Search for Army of Tentacles 2
lowest price is 13.65 SR at -61%",22.75 SR,65.00%,,,,-35%
502,Chronicle of Daneya,4.48 SR,64.78%,in 12 days,9 days ago,2 years ago,-75%
503,Skeleton Wave,1.37 SR,64.78%,in 7 days,4 hours ago,7 months ago,-50%
504,"История бомжа 2: полицейский беспредел
new historical low",1.51 SR,64.78%,in 5 days,9 days ago,2 months ago,-45%
505,"Void -Dementia-
new historical low",26.95 SR,64.78%,in 3 days,4 days ago,5 days ago,-10%
506,"记忆重现/Rememory
lowest price is 3.58 SR at -70%",5.97 SR,64.71%,in 7 days,7 days ago,2 years ago,-50%
507,Confessions,6.36 SR,64.52%,in 12 days,9 days ago,4 months ago,-20%
508,"The Catch: Carp & Coarse Fishing
lowest price is 12.49 SR at -50%",30.51 SR,64.48%,in 5 days,2 days ago,17 months ago,-35%
509,"Santa's Big Adventures
lowest price is 1.56 SR at -61%",1.96 SR,64.40%,in 12 days,2 days ago,5 years ago,-51%
510,"Dino Zoo Transport Simulator
lowest price is 1.37 SR at -68%",1.40 SR,64.32%,in 13 days,yesterday,2 years ago,-67%
511,BomberZone,1.37 SR,64.25%,in 12 days,9 days ago,6 years ago,-50%
512,Night Sing,4.18 SR,64.20%,in 13 days,yesterday,2 years ago,-70%
513,"Pixel Ninja
lowest price is 1.37 SR at -50%",1.79 SR,64.08%,in 10 days,yesterday,16 months ago,-90%
514,Solitaire Jack Frost Winter Adventures 2,1.43 SR,64.08%,in 3 days,4 days ago,7 months ago,-88%
515,"Neon Blast
lowest price is 1.37 SR at -50%",2.39 SR,64.08%,in 6 days,8 days ago,3 years ago,-80%
516,"greenTech+ Legacy Edition
lowest price is 1.99 SR at -80%",2.48 SR,64.08%,in 11 days,9 days ago,12 years ago,-75%
517,Space Squadron,1.41 SR,64.08%,in 11 days,9 days ago,13 months ago,-73%
518,Space Force Squadron,1.37 SR,64.08%,in 12 days,2 days ago,14 months ago,-50%
519,Bullet Time,1.37 SR,64.08%,in 8 days,9 days ago,10 months ago,-50%
520,"Killer Gin Battle Arcade
new historical low",10.97 SR,64.08%,,,,-50%
521,"Heavenly Hammer
new historical low",1.37 SR,64.08%,,,,-50%
522,"Farm and Girls
new historical low",1.37 SR,64.08%,,,,-50%
523,Dark Running,1.65 SR,64.08%,,,,-40%
524,"2DTo3DModelEditor
lowest price is 10.97 SR at -50%",13.17 SR,64.08%,in 13 days,yesterday,2 years ago,-40%
525,"Recycle My World
lowest price is 5.97 SR at -50%",7.17 SR,64.08%,in 2 days,8 days ago,12 months ago,-40%
526,"Mushroom Hunter
new historical low",16.17 SR,64.08%,in 4 days,3 days ago,4 days ago,-40%
527,"Herbis
lowest price is 1.65 SR at -40%",1.92 SR,64.08%,in 4 days,3 days ago,8 months ago,-30%
528,"Jack and the Beanstalk Jigsaw Puzzle
new historical low",3.67 SR,64.08%,in 2 days,5 days ago,8 days ago,-30%
529,"ShootOut(SystemD)
new historical low",20.21 SR,64.08%,in 2 days,12 days ago,2 months ago,-25%
530,"PAGO FOREST: DRAGON'S REVENGE
lowest price is 2.49 SR at -90%",11.16 SR,64.08%,in 3 days,11 days ago,13 months ago,-20%
531,"Madness Beverage
new historical low",25.45 SR,64.08%,in 4 days,3 days ago,4 days ago,-15%
532,"BOXNIGMA
new historical low",2.33 SR,64.08%,in 4 days,3 days ago,4 days ago,-15%
533,"DelayedSun
new historical low",10.75 SR,64.08%,in 6 days,20 hours ago,2 days ago,-10%
534,"Elfin Clay
new historical low",28.75 SR,64.08%,in 6 days,22 hours ago,2 days ago,-10%
535,"Across the Galaxy: Stellar Dominator
new historical low",19.75 SR,64.08%,in 6 days,yesterday,2 days ago,-10%
536,Girls and Dragons,1.37 SR,64.07%,in 12 days,9 days ago,8 months ago,-50%
537,"Canasta 3D Premium
lowest price is 13.17 SR at -40%",17.97 SR,64.06%,in 13 days,yesterday,3 years ago,-40%
538,"Outbreak: The New Nightmare
lowest price is 4.04 SR at -85%",13.47 SR,63.96%,in 11 days,9 days ago,4 years ago,-50%
539,Chess Valley 2,1.37 SR,63.89%,in 13 days,yesterday,6 months ago,-50%
540,"Regenesis Arcade
lowest price is 1.79 SR at -90%",8.07 SR,63.88%,in 6 days,8 days ago,3 years ago,-55%
541,"RollingSky
lowest price is 7.18 SR at -70%",11.97 SR,63.83%,,,,-50%
542,"Windscape
lowest price is 6.99 SR at -80%",8.73 SR,63.74%,,,,-75%
543,"Bro, where's My head???
new historical low",1.99 SR,63.58%,,,,-80%
544,"Rescue your chickens
lowest price is 1.56 SR at -61%",1.96 SR,63.54%,,,,-51%
545,"Whiskey.Mafia. Leo's Family
lowest price is 2.38 SR at -70%",4.37 SR,63.43%,in 7 days,7 days ago,2 years ago,-45%
546,"Project Lounge
lowest price is 2.19 SR at -90%",2.49 SR,63.41%,in 12 days,2 days ago,5 months ago,-90%
547,"Osozaki 遅咲き Late Blooming - First
lowest price is 8.25 SR at -75%",16.50 SR,63.41%,in 2 days,7 days ago,6 years ago,-50%
548,Dehumanized,2.10 SR,63.32%,in 13 days,yesterday,3 years ago,-60%
549,The Dark Inside Me,8.97 SR,63.13%,in 10 days,4 days ago,4 years ago,-50%
550,PhotoWorld,2.19 SR,63.06%,in 12 days,9 days ago,13 months ago,-90%
